,Property_Name,Property Title,Price,Location,Total_Area(SQFT),Price_per_SQFT,Description,Total_Rooms,Balcony,city,property_type,BHK
0,Casagrand ECR 14,"4 BHK Flat for sale in Kanathur Reddikuppam, Chennai",19900000.0,"Kanathur Reddikuppam, Chennai",2583,7700.0,"Best 4 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Chennai's top location, Kanathur Reddikuppam. It is situated on floor 13. The total number of floors in this Apartment is 14. The property price of this unit is Rs 1.99 Cr. The built-up area is 2583 Square feet. There are 4 bedrooms and 4 bathroom. It is an ideal location for young families with kids, as this property is close to Mount Litera Zee School, OMR, Chennai, Amelio Early Education - Siruseri, and Chennai Mathematical Institute. H...",4,Yes,Chennai,Flat,4
1,"Ramanathan Nagar, Pozhichalur,Chennai","10 BHK Independent House for sale in Pozhichalur, Chennai",22500000.0,"Ramanathan Nagar, Pozhichalur,Chennai",7000,3210.0,"Looking for a 10 BHK Independent House for sale in Chennai? Your search ends here. Buy this 10 BHK property in Chennai's finest location, Pozhichalur. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 2.25 Cr. Maintenance charges in this property is Rs 2000. The built up area of this property is 7000 Square feet. It is spacious for a family and this property has a carpet area of 500 Square feet. There are 10 bedrooms and 9 bathroom. There are a number of reputed schools in the vicinity such as Peace On Green Ear...",6,Yes,Chennai,House,10
2,DAC Prapthi,"3 BHK Flat for sale in West Tambaram, Chennai",10000000.0,"Kasthuribai Nagar, West Tambaram,Chennai",1320,7580.0,"Property for sale in Tambaram, Chennai. This 3 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 2. This Apartment's price is Rs 1.0 Cr. The built-up area is 1320 Square feet. The property has 3 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Hindu Mission Hospital, Annai Arul Hospital, and Kasthuri Hospital. Schools like INNOVATION ACADEMY, T.I.M.E. Kids Preschool- Tambaram...",3,No,Chennai,Flat,3
3,"Naveenilaya,Chepauk, Triplicane,Chennai","7 BHK Independent House for sale in Triplicane, Chennai",33300000.0,"Naveenilaya,Chepauk, Triplicane,Chennai",4250,7840.0,"Entire Building for sale with 7 units of single bedroom and 2 units of double bed room with ground floor Parking with Rental Yield of 1,50,000/- More About This Property 7 BHK Independent House for sale in Chennai. This property is in Triplicane, which is a coveted investment location. This tastefully designed 7 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 7 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 3.33 Cr. Monthly maintenance charges come to Rs 3000. It is best suited for al...",5,Yes,Chennai,House,7
4,DRA 90 Degrees,"3 BHK Flat for sale in Pallikaranai, Chennai",13000000.0,"Rose Avenue, Pallikaranai,Chennai",1444,9000.0,"Looking for a 3 BHK Apartment for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Pallikaranai. This is an owner listed property and there is no brokerage involved. It is on floor 4 out of 11 floors. This Apartment is available at a reasonable price of Rs 1.3 Cr. Maintenance charges in this property is Rs 6500. The built up area of this property is 1444 Square feet. There are 3 bedrooms and 3 bathroom. The Apartment has lift facility. It is a thoroughly safe premise with cctv facility. Other facilities include amenities like Gym, Garden, Sports Fac...",3,No,Chennai,Flat,3
5,"Ramakrishna Puram, West Mambalam,Chennai","6 BHK Villa for sale in West Mambalam, Chennai",85000000.0,"Ramakrishna Puram, West Mambalam,Chennai",6000,14170.0,"Looking for a 6 BHK Villa for sale in Chennai? Your search ends here. Buy this 6 BHK property in Chennai's finest location, West Mambalam. This is an owner listed property and there is no brokerage involved. This Villa is available at a reasonable price of Rs 8.5 Cr. Maintenance charges in this property is Rs 2000. The built up area of this property is 6000 Square feet. There are 6 bedrooms and 6 bathroom. There are a number of reputed schools in the vicinity such as Chennais Amirta International Institute Of Hotel Management, Padma Seshadri Bala Bhavan Senior Secondary School, and Hindu Vidhy...",1,Yes,Chennai,Villa,6
6,"Deepak home,Mettuppalayam, Ashok Nagar,Chennai","2 BHK Flat for sale in Ashok Nagar, Chennai",11500000.0,"Deepak home,Mettuppalayam, Ashok Nagar,Chennai",878,13100.0,"13a,4th Street, Ragavan colony, Ashok Nagar, Chennai-83 (near to r6 police station) More About This Property A 2 BHK Apartment for sale in Ashok Nagar, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Ashok Nagar's most desired properties. Contact now for more information. This 2 BHK unit is on floor 3. There are 3 floors in this property. The price of this Apartment is Rs 1.15 Cr. Maintenance charges come to Rs 1000. Each unit has a built-up area of 878 Square feet. The carpet area is 672 Square feet. This South-f...",3,Yes,Chennai,Flat,2
7,Ramcons Dominion,"3 BHK Flat for sale in Nungambakkam, Chennai",26000000.0,"Tirumurthy Nagar, Nungambakkam,Chennai",1658,15680.0,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Chennai's top location, Nungambakkam. It is situated on floor 3. The total number of floors in this Apartment is 3. The property price of this unit is Rs 2.8 Cr. Monthly maintenance costs Rs 7500. The built-up area is 1658 Square feet. There are 3 bedrooms and 3 bathroom. It is an ideal location for young families with kids, as this property is close to Lady Andal Venkatasubbarao Matriculation School, MCC Matriculation Higher Secondary Sch...",3,Yes,Chennai,Flat,3
8,VGN Coasta,"4 BHK Flat for sale in Muttukadu, Chennai",29700000.000000004,"Muttukadu, Chennai",4200,7070.0,"Best 4 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Chennai's top location, Muttukadu. It is situated on floor 5. The total number of floors in this Apartment is 15. The property price of this unit is Rs 2.97 Cr. Monthly maintenance costs Rs 14000. The built-up area is 4200 Square feet. There are 4 bedrooms and 5 bathroom. This property enjoys a good view and is North-facing. This property in Muttukadu, Chennai has lift facility as well. It is a safe premise with cctv facility. Other amenit...",5,Yes,Chennai,Flat,4
9,"Ramanathan Nagar, Pozhichalur,Chennai","2 BHK Independent House for sale in Pozhichalur, Chennai",16200000.000000002,"Ramanathan Nagar, Pozhichalur,Chennai",2838,5710.0,"2 BHK Independent House for sale in Pozhichalur, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Pozhichalur which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Pozhichalur. This 2 BHK Independent House is available at a reasonable price of Rs 1.62 Cr. The built-up area is 2838 Square feet. This property has provision for 3 bathroom. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Deepam Hos...",4,Yes,Chennai,House,2
10,CasaGrand Vistaaz,"3 BHK Villa for sale in Kolapakkam - Vandalur, Chennai",10800000.0,"Kolapakkam - Vandalur, Chennai",1566,6900.0,"Close to Shriram IT Gateway and New Kilambakkam Bus Stand More About This Property Looking for a good 3 BHK Villa in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. This Villa is available for Rs 1.08 Cr. This modern unit has a built-up area of 1566 Square feet. This property has a good view and is South-East-facing. There are 3 bedrooms and 3 bathroom. This is a gated community. Cctv facility is provided to ensure safety. Sports enthusiasts have multiple options such as Gym, Garden, Sports Facility, Swimming Pool, Clubh...",3,No,Chennai,Villa,3
11,"penta concept enclave,Thiruverkkadu, Chennai","4 BHK Flat for sale in Thiruverkkadu, Chennai",10000000.0,"penta concept enclave,Thiruverkkadu, Chennai",2350,4250.0,"There are 5 blocks.
And in the 5th block there are 5 Flats. 
We have custom built 2 apartments in that in the 1st and 2nd floors for our exclusive use !
Both can be used as Duplex, as internal staircase is provided.
Both can be independent also.
All cup boards and kitchen work completed.
Kitchen cum dinning cum hall is one & spacious.
Floor wise Area details: 
There are only 2 Floors.

Built area:




B4: First Floor. 
Built area - 1359 SQFT
B5: Second Floor.
Built area - 991 SQFT
Total built area- 2350 SQFT.

UDS: 

First Floor B4:
UDS 1033 SQFT.
Second Floor B5:
UDS 650 SQFT.

Total UDS     ...",4,Yes,Chennai,Flat,4
12,"Swarnambigai Nagar, Virugambakkam,Chennai","5 BHK Independent House for sale in Virugambakkam, Chennai",25000000.0,"Swarnambigai Nagar, Virugambakkam,Chennai",2500,10000.0,"Brokers, kindly excuse us. CMDA approved 5BHK East Facing independent house in AVM Avenue, Virugambakkam with 2BHK on ground floor, 2BHK on 1st floor and separate room and bath room in 2nd floor. The house comes with 2 car covered parking with plenty of two wheeler parking and with corporation water supplemented by borewell water. More About This Property 5 BHK Independent House for sale in Virugambakkam, Chennai. This 5 BHK unit is available in Virugambakkam and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for ...",4,Yes,Chennai,House,5
